,index,queries,topic,persona
3,4,valuable chemicals from scrap rubber,32,markus
4,5,recycled tires for reef building,32,markus
5,6,recycled tires as filler or binder,32,markus
6,7,recycled tires for heat generation,32,markus
7,8,benefits of recycled tires for heat generation,32,markus
8,9,environmental impacts of recycled tires,32,markus
9,10,new uses for old automobile tires,32,markus
0,1,art theft,33,markus
1,2,art forgery,33,markus
2,3,famous art theft cases,33,markus
3,4,famous art forgery cases,33,markus
4,5,value of stolen art,33,markus
5,6,punishment for art theft forgery,33,markus
6,7,identifying forged art,33,markus
7,8,history of art theft forgery,33,markus
8,9,impact of art theft forgery,33,markus
9,10,mass-produced art reproductions,33,markus
0,1,Mirjana Markovic,34,markus
1,2,Milosevic and Markovic relationship,34,markus
2,3,Milosevic wife nickname,34,markus
3,4,Markovic role in Serbian politics,34,markus
4,5,Markovic opinion on political issues,34,markus
5,6,Markovic background,34,markus
6,7,Markovic impact on Milosevic presidency,34,markus
7,8,Markovic involvement in Yugoslav Wars,34,markus
8,9,Markovic current status,34,markus
9,10,Markovic legacy in Serbian history,34,markus
0,1,dogs law enforcement role,35,markus
1,2,law enforcement dog training,35,markus
2,3,dogs law enforcement operations,35,markus
3,4,history dogs law enforcement,35,markus
4,5,breeds dogs law enforcement,35,markus
5,6,selecting dogs law enforcement,35,markus
6,7,handlers law enforcement dogs,35,markus
7,8,benefits dogs law enforcement,35,markus
8,9,risks dogs law enforcement,35,markus
9,10,regulation dogs law enforcement worldwide,35,markus
